contig_id,0,1,2,3,4,5
NODE_22_length_1092_cov_17.170330,6.83377601e-01,7.37088783e-01,-3.73415573e+00,-2.09052679e+00,-3.46048001e-02,7.79756455e-02
NODE_227_length_17728_cov_8.145138,2.71469116e+00,-2.34019808e+00,-1.37313183e+00,-4.36602404e-01,-7.17510073e-01,-5.38129615e-03
NODE_368_length_95913_cov_8.145454,4.11659057e+00,-2.59204351e+00,1.66025395e+00,3.80499673e-01,7.19790635e-01,-1.26150626e-01
NODE_501_length_2698_cov_4.403262,-1.26439908e+01,2.13650288e+00,8.31350180e+00,-9.61948357e+00,2.41270199e-02,-9.59297935e-01
NODE_83_length_30959_cov_8.206402,3.28344618e+00,-4.38842502e+00,-1.58367897e+00,-7.10510230e-01,-8.46011838e-01,3.06103725e-01
NODE_96_length_1344_cov_16.811756,7.95529258e-01,1.11199596e+00,-3.44851844e+00,-1.69068152e+00,5.46366162e-01,8.41396618e-01
NODE_2_length_16156_cov_8.219856,2.34620045e+00,5.87252876e-01,-6.19421000e-02,3.96378285e-01,3.17001324e-01,-5.72323327e-01
NODE_391_length_18466_cov_8.041157,2.69531591e+00,-1.25280937e+00,-8.42654335e-01,-1.96778576e-01,-2.41692231e-01,-1.63664087e-01
NODE_401_length_1196_cov_6.761706,-4.79593392e-01,1.92601560e+00,-4.82783389e+00,-2.10646722e+00,3.46175888e-01,3.04675897e-02
NODE_363_length_56311_cov_8.373550,3.66276417e+00,-2.40871331e+00,5.97210437e-01,8.68083435e-02,3.34932379e-01,2.17167053e-02
NODE_322_length_13952_cov_8.311927,2.42206140e+00,1.41214813e+00,1.11729429e+00,1.46937659e+00,-5.75696278e-01,-6.75731352e-01
NODE_394_length_1280_cov_15.627344,6.54506186e-01,2.40267286e+00,-2.45046380e+00,-8.00940745e-01,-9.77229748e-02,-2.39405726e-01
NODE_37_length_2911_cov_16.829613,1.18199764e+00,2.65375519e+00,-2.06049254e-01,3.10286676e-01,9.20073684e-01,4.67712222e-01
