Contig	COG	Name	Start	End
PROKKA_06542	COG0021	Transketolase	1	83
PROKKA_06385	COG3335	Transposase	83	146
PROKKA_06386	COG3415	Transposase	4	121
PROKKA_06387	COG1136	ABC-type lipoprotein export system, ATPase component	1	219
PROKKA_06388	COG3127	Predicted ABC-type transport system involved in lysophospholipase L1 biosynthesis, permease component	214	377
PROKKA_06390	COG1136	ABC-type lipoprotein export system, ATPase component	5	225
PROKKA_06393	COG3279	DNA-binding response regulator, LytR/AlgR family	17	243
PROKKA_06394	COG0732	Restriction endonuclease S subunit	13	358
PROKKA_06395	COG0286	Type I restriction-modification system, DNA methylase subunit	11	511
PROKKA_06406	COG0060	Isoleucyl-tRNA synthetase	1	142
PROKKA_06407	COG0642	Signal transduction histidine kinase	489	755
PROKKA_06408	COG0110	Acetyltransferase (isoleucine patch superfamily)	18	181
PROKKA_06409	COG1132	ABC-type multidrug transport system, ATPase and permease component	81	607
PROKKA_06410	COG0328	Ribonuclease HI	3	137
PROKKA_06411	COG0525	Valyl-tRNA synthetase	1	421
PROKKA_06412	COG0525	Valyl-tRNA synthetase	5	422
PROKKA_06413	COG0466	ATP-dependent Lon protease, bacterial type	51	809
PROKKA_06414	COG1212	CMP-2-keto-3-deoxyoctulosonic acid synthetase	1	246
PROKKA_06415	COG2877	3-deoxy-D-manno-octulosonic acid (KDO) 8-phosphate synthase	6	250
PROKKA_06416	COG0794	D-arabinose 5-phosphate isomerase GutQ	9	209
PROKKA_06417	COG2350	Uncharacterized conserved protein YciI, contains a putative active-site phosphohistidine	2	85
PROKKA_06420	COG0038	H+/Cl- antiporter ClcA	68	450
PROKKA_06421	COG0180	Tryptophanyl-tRNA synthetase	1	331
PROKKA_06422	COG0583	DNA-binding transcriptional regulator, LysR family	1	298
PROKKA_06423	COG0799	Ribosomal silencing factor RsfS, regulates association of 30S and 50S subunits	1	109
PROKKA_06424	COG0465	ATP-dependent Zn proteases	66	621
PROKKA_06425	COG0575	CDP-diglyceride synthetase	135	280
